company,build_count,buy_count,hybrid_count,total_articles,build_pct,buy_pct,hybrid_pct
BT,0,2,0,22,0.0,100.0,0.0
Virgin Media O2,0,5,0,22,0.0,100.0,0.0
Vodafone,0,5,0,20,0.0,100.0,0.0
TalkTalk,0,1,0,6,0.0,100.0,0.0
Colt,1,0,0,6,100.0,0.0,0.0
Zayo,0,1,0,6,0.0,100.0,0.0
ServiceNow,0,2,0,3,0.0,100.0,0.0
Vyntelligence,0,1,0,2,0.0,100.0,0.0
Microsoft,0,1,0,2,0.0,100.0,0.0
Vorboss,0,1,0,1,0.0,100.0,0.0
Octaplus,0,1,0,1,0.0,100.0,0.0
Cornerstone,0,1,0,1,0.0,100.0,0.0
Vantage Towers,0,1,0,1,0.0,100.0,0.0
Gigaclear,0,1,0,1,0.0,100.0,0.0
