company,total_roi_claims,claims_with_percentage,claims_with_amount,avg_credibility,max_credibility,cost_reduction_claims,revenue_growth_claims,time_savings_claims,customer_impact_claims,primary_roi_type,most_common_use_case
BT,11,0,0,66.36363636363636,80,2,0,7,2,time_savings,internal_productivity_workforce
BT,11,0,0,66.36363636363636,80,2,0,7,2,time_savings,internal_productivity_workforce
BT,11,0,0,66.36363636363636,80,2,0,7,2,time_savings,internal_productivity_workforce
BT,11,0,0,66.36363636363636,80,2,0,7,2,time_savings,internal_productivity_workforce
O2,10,0,3,79.0,100,2,1,4,2,time_savings,customer_support_experience
Virgin Media,10,0,3,79.0,100,2,1,4,2,time_savings,customer_support_experience
Virgin Media O2,9,0,2,76.66666666666667,85,2,1,4,1,time_savings,customer_support_experience
Vodafone,9,0,0,70.0,80,1,1,6,0,time_savings,internal_productivity_workforce
Vodafone,9,0,0,70.0,80,1,1,6,0,time_savings,internal_productivity_workforce
Vodafone,9,0,0,70.0,80,1,1,6,0,time_savings,internal_productivity_workforce
Virgin Media O2,9,0,2,76.66666666666667,85,2,1,4,1,time_savings,customer_support_experience
Vodafone,9,0,0,70.0,80,1,1,6,0,time_savings,internal_productivity_workforce
Vodafone,9,0,0,70.0,80,1,1,6,0,time_savings,internal_productivity_workforce
Virgin Media O2,9,0,2,76.66666666666667,85,2,1,4,1,time_savings,customer_support_experience
Vodafone,9,0,0,70.0,80,1,1,6,0,time_savings,internal_productivity_workforce
EE,8,0,0,65.625,80,1,0,6,1,time_savings,internal_productivity_workforce
EE,8,0,0,65.625,80,1,0,6,1,time_savings,internal_productivity_workforce
EE,8,0,0,65.625,80,1,0,6,1,time_savings,internal_productivity_workforce
EE,8,0,0,65.625,80,1,0,6,1,time_savings,internal_productivity_workforce
EE,8,0,0,65.625,80,1,0,6,1,time_savings,internal_productivity_workforce
TalkTalk,4,0,0,70.0,80,0,0,3,1,time_savings,customer_support_experience
ServiceNow,3,0,0,68.33333333333333,70,0,0,3,0,time_savings,internal_productivity_workforce
Colt,3,0,0,65.0,65,0,3,0,0,revenue_growth,internal_productivity_workforce
Freshwave,3,0,0,63.333333333333336,65,0,0,3,0,time_savings,internal_productivity_workforce
ServiceNow,3,0,0,68.33333333333333,70,0,0,3,0,time_savings,internal_productivity_workforce
ServiceNow,3,0,0,68.33333333333333,70,0,0,3,0,time_savings,internal_productivity_workforce
Sky,2,0,0,60.0,65,0,1,1,0,revenue_growth,customer_support_experience
Microsoft,2,0,0,67.5,70,0,0,2,0,time_savings,internal_productivity_workforce
Microsoft,2,0,0,67.5,70,0,0,2,0,time_savings,internal_productivity_workforce
Vyntelligence,2,0,0,67.5,70,1,0,1,0,cost_reduction,internal_productivity_workforce
Zayo,2,0,0,70.0,70,0,0,2,0,time_savings,internal_productivity_workforce
IQGeo,1,0,0,70.0,70,0,0,1,0,time_savings,internal_productivity_workforce
Cornerstone,1,0,0,80.0,80,1,0,0,0,cost_reduction,network_planning_deployment
WIG,1,0,0,60.0,60,0,0,1,0,time_savings,internal_productivity_workforce
Neos Networks,1,0,0,70.0,70,0,1,0,0,revenue_growth,internal_productivity_workforce
Ericsson,1,0,0,80.0,80,0,0,1,0,time_savings,network_optimization_performance
Gigaclear,1,0,0,80.0,80,0,0,0,1,customer_impact,customer_support_experience
Vantage Towers,1,0,0,80.0,80,1,0,0,0,cost_reduction,network_planning_deployment
Octaplus,1,0,0,80.0,80,0,0,1,0,time_savings,customer_support_experience
