Website,Article Title,Article content,Article Link,Date
https://fibrenews.co.uk/category/all-news/,Connect Fibre rolls out Wi-Fi 7 across all broadband plans,"Connect Fibre, a community-focused full fibre broadband provider, has launched Wi-Fi 7 across all its contracted packages. After thorough testing with top global manufacturers, the company is bringing next-gen tech to customers at no extra cost, sticking to its fair-pricing promise. The upgrade sets a new standard in the UK fibre market, making cutting-edge connectivity accessible without premium fees. Alongside Wi-Fi 7, Connect Fibre offers flexibility with 24-month contracts for lower rates or 12-month options for shorter commitments. The provider has also boosted its entry-level plan from 150Mbps to 250Mbps at no additional cost (on a 24-month deal), while its top-tier package now hits 2000Mbps. What Wi-Fi 7 brings Wi-Fi 7 uses advanced radio tech and new frequencies for faster, interference-free connections. Benefits include: Faster speeds : Multi-gigabit performance beats Wi-Fi 6, perfect for streaming and gaming. Lower latency : Reduced delays enhance gaming, AR/VR, and video calls. More capacity : Supports multiple devices with 8×8 MU-MIMO, ideal for smart homes. Stefan Stanislawski, CEO of Connect Fibre, said: “The launch of Wi-Fi 7 is a game-changer, and we’re proud to be leading the charge in bringing this cutting-edge technology to our customers. At Connect Fibre, innovation and customer experience are at the heart of everything we do. We believe everyone should have access to the best possible connectivity without barriers or premium pricing. With Wi-Fi 7, we’re not just keeping up with the future – we’re shaping it.”",https://fibrenews.co.uk/connect-fibre-rolls-out-wi-fi-7-across-all-broadband-plans/,2025-03-07T09:11:00+00:00
https://fibrenews.co.uk/category/all-news/,Daisy Communications Strikes Long-Term Partnership with AllPoints Fibre Networks,"Daisy Communications has signed a long-term strategic partnership with AllPoints Fibre Networks (APFN), securing access to a national full-fibre network through APFN’s aquila wholesale platform. With aquila , Daisy can instantly connect to millions of premises via a single, API-first platform—eliminating the complexity of managing multiple fibre networks. As part of the deal, Daisy will also acquire APFN’s B2B direct customer base, previously managed under the Giganet brand. Both companies have confirmed that customers will see no change to their service levels or pricing, while also gaining access to Daisy’s wider product suite and industry-leading support. The partnership takes effect immediately, and customers moving to Daisy have already been informed. Jarlath Finnegan, Group CEO at AllPoints Fibre Networks, said: “The Daisy deal marks another key milestone for APFN. Daisy now has access to the UK’s largest full-fibre wholesale network, benefiting the customers who have supported us along the way. We want to thank them and look forward to continuing that support through Daisy in the years ahead.” Dave McGinn, CEO at Daisy Communications, added: “We’re excited to bring the UK’s largest full-fibre wholesale network to our customers through this partnership. We also welcome the new businesses joining Daisy as part of the deal and look forward to working with them to keep Britain connected.”",https://fibrenews.co.uk/daisy-communications-strikes-long-term-partnership-with-allpoints-fibre-networks/,2025-03-03T09:41:12+00:00
https://fibrenews.co.uk/category/all-news/,Voiceflex Partners with Vorboss to Strengthen Business Connectivity,"Voiceflex has joined forces with Vorboss, London’s leading business ethernet fibre provider, to support partners with connectivity growth in the capital. Reliable connectivity is essential for modern businesses. Without a solid connection to the cloud, operations slow down or stop entirely. Many of Voiceflex’s services run in real-time, making uptime and performance critical. A system is only as strong as its weakest link. Partnering with a specialist fibre provider gives businesses access to high-speed, low-latency internet built for handling data-heavy applications, cloud services, and communication tools. Fibre isn’t just faster than traditional broadband—it’s more stable, scalable, and designed to support growing demands. Paul Taylor, CCO of Voiceflex, said: “We’re really impressed by their uptime stats, but even more so by the money-back service credits. If an outage goes beyond four minutes, an automatic credit is applied at the end of the month. That level of accountability is rare.” For businesses that need dependable, high-quality connectivity, this partnership makes a lot of sense.",https://fibrenews.co.uk/voiceflex-partners-with-vorboss-to-strengthen-business-connectivity/,2025-02-27T11:01:19+00:00
https://fibrenews.co.uk/category/all-news/,Quickline Rolls Out Full Fibre to Hard-to-Reach Homes in Lincolnshire & East Yorkshire,"Thousands of rural homes and businesses across Lincolnshire and the East Riding of Yorkshire are finally getting the broadband speeds they deserve. Quickline is delivering full fibre broadband as part of the government-backed Project Gigabit, bringing next-generation connectivity to communities that have long been left behind. Since securing the contract in summer 2024, Quickline has already connected nearly 850 funded homes and businesses to gigabit-capable broadband. The first areas to benefit include the villages of Ruskington, Ancaster, and Burgh le Marsh in the south of Lincolnshire. But this is just the start. Work is now pushing further north, with North Cave and Gilberdyke in the East Riding of Yorkshire next in line. Holme on Spalding Moor will follow soon after. The rollout is moving fast—just six months after securing the contract, the first homes were live, and four months after breaking ground, residents were able to connect. In total, the contract will bring full fibre to nearly 72,000 properties. On top of that, another 50,000 premises will benefit from Quickline’s separate commercial rollout. This means tens of thousands of people in rural areas will finally have access to reliable, high-speed internet. Dan Hague, Project Delivery Director at Quickline, said: “Bringing high-speed broadband to rural communities is what we do best. From day one, the focus has been on getting results quickly, and connecting over 800 premises in just a few months is a huge milestone. Our teams are working tirelessly to bring reliable broadband to areas that have struggled for too long.” Telecoms Minister Sir Chris Bryant added: “Poor connectivity has been a major challenge for people living and working in rural Lincolnshire and East Yorkshire. Whether it’s remote NHS consultations or simply staying in touch with loved ones, fast broadband is essential. Thanks to this government-funded rollout, thousands of homes and businesses will now have access to the fastest speeds on the market, boosting the local economy and improving everyday life.” Homes and businesses in the rollout areas can now book their installation and get connected. The digital divide is closing—one village at a time.",https://fibrenews.co.uk/quickline-rolls-out-full-fibre-to-hard-to-reach-homes-in-lincolnshire-east-yorkshire/,2025-02-26T11:13:22+00:00
https://fibrenews.co.uk/category/all-news/,"Gigaclear Begins Project Gigabit Build to Connect 9,500 Oxfordshire Premises","Gigaclear has begun work on Project Gigabit in Oxfordshire, aiming to connect around 9,500 homes and businesses to full-fibre broadband. The £25.4m government-funded initiative targets hard-to-reach areas, with Gigaclear installing over 250km of new ducting—50% of which will utilise existing infrastructure. Nathan Rundle, CEO of Gigaclear, said: “Our mission is to bring full-fibre broadband to rural communities, and Project Gigabit is key to making that happen. As an Oxfordshire-based business, we’re committed to improving digital access in the county and delivering fast, reliable connectivity to local residents.” Telecoms Minister Sir Chris Bryant added: “Many communities in Oxfordshire have been excluded from the benefits of fast broadband. Through Project Gigabit, we’re closing those digital gaps and moving closer to our goal of full gigabit coverage by 2030.” Work is now underway, with completion expected by November 2026. Project Gigabit is part of the government’s strategy to ensure no rural community is left behind, delivering the same digital opportunities already available in larger towns and cities.",https://fibrenews.co.uk/gigaclear-begins-project-gigabit-build-to-connect-9500-oxfordshire-premises/,2025-02-24T08:53:49+00:00
https://fibrenews.co.uk/category/all-news/,Freedom Fibre Appoints Lindsey Sutherland as Chief Operations Officer,"Freedom Fibre has appointed Lindsey Sutherland as Chief Operations Officer (COO), effective 4th March 2025. Lindsey brings 30 years of experience in engineering and IT, with a background spanning the military, data systems, and telecoms. His career began with active service in Bosnia and Northern Ireland before founding a data systems business that supported transformation projects in the NHS and military shipbuilding. He later led technology integration at Community Fibre and served as CTO at SaaS VoIP provider Nebula. Lindsey said: “I’m proud to join Freedom Fibre at such a pivotal time. The broadband industry is evolving rapidly, and we must stay ahead to ensure we deliver the best possible service.” Nathan Vautier, CEO of Freedom Fibre, added: “Lindsey’s experience and leadership are a perfect fit for our ambitions. We’re excited to have him on board as we continue to scale.”",https://fibrenews.co.uk/freedom-fibre-appoints-lindsey-sutherland-as-chief-operations-officer/,2025-02-24T09:23:17+00:00
https://fibrenews.co.uk/category/all-news/,Quickline Appoints Frank Stone as Chief Marketing and Information Officer,"Quickline Communications has appointed Frank Stone as Chief Marketing and Information Officer, reinforcing its focus on delivering the best possible broadband experience for its growing customer base. As part of this commitment, Quickline is also expanding its Willerby headquarters with a new Customer Excellence Hub. The facility will bring together Sales, Customer Services, Scheduling, and Customer Onboarding teams, ensuring a more streamlined and customer-focused approach. Frank brings extensive experience from senior telecoms roles, including 12 years at Digicel as Group Chief Commercial Officer and a decade at BT in commercial roles across business and residential mobile services. He has also held positions at ntl, Dolphin Telecommunications, Cable & Wireless, and Silverlink Train Services, specialising in pricing, product development, and commercial strategy. In his new role, Frank will lead Quickline’s Product, Propositions, Marketing, Digital, and Data teams, ensuring customer insights shape decision-making. He said: “I’m excited to join Quickline at such a pivotal time. The company has a unique opportunity to transform connectivity in rural areas, and my focus will be on ensuring we put customers at the heart of everything we do—listening to their needs, refining our services, and exceeding expectations.” Sean Royce, Quickline’s CEO, added: “Frank’s expertise and customer-first mindset will be invaluable as we continue our growth. His leadership will ensure we remain focused on delivering the best possible experience. “The launch of our new Customer Excellence Hub is another milestone in our journey to transform rural broadband. By bringing our customer-facing teams together, we’re strengthening our ability to deliver exceptional service.” 4o",https://fibrenews.co.uk/quickline-appoints-frank-stone-as-chief-marketing-and-information-officer/,2025-02-24T09:28:20+00:00
https://fibrenews.co.uk/category/all-news/,"CityFibre’s Big Year: Record Growth, First Profitable Year & Sky Partnership","CityFibre Reports Record Growth, First Profitable Year & Landmark Sky Partnership CityFibre has announced record-breaking results for 2024, marking its first full year of profitability alongside significant customer growth and a major strategic partnership with Sky. The UK’s largest independent wholesale fibre network continues to scale at pace, strengthening its position as the leading alternative to Openreach. 2024 Highlights: Revenue increased by 34% to £134m, with consumer revenue up 73% Achieved profitability for the first time, reporting an EBITDA of £5m 181,000 new customers added, bringing total live customers to 518,000 Long-term strategic partnership secured with Sky, doubling CityFibre’s addressable market to cover nearly half of UK broadband consumers Over 4.3 million premises now passed, with more than 900,000 Ready for Service (RFS) premises added in 2024 Nine BDUK Project Gigabit contracts secured, totalling £865m in subsidies, with early take-up running 60% higher than non-intervention areas Acquisition of Lit Fibre completed, adding 280,000 premises and successfully integrating into CityFibre’s wholesale platform in under nine months Continued rollout of XGS-PON technology, providing multi-gig symmetrical speeds Expansion Accelerates: Over 8 Million Premises in Sight CityFibre is rapidly expanding its footprint, now halfway to its target of passing 8 million UK premises. 2024 saw a shift in strategy, balancing organic build with government-backed Project Gigabit rollouts and acquisitions. Project Gigabit has been a key driver of growth, with CityFibre securing nine contracts and £865m in subsidies. Over 20,000 subsidised premises are already Ready for Service, and early adoption rates suggest strong demand, with take-up running 60% higher than in traditional rollout areas. Sky Partnership Doubles Addressable Market A major milestone in 2024 was the announcement of a long-term partnership with Sky, one of the UK’s largest broadband providers. With Sky set to launch services over CityFibre’s network in 2025, the deal nearly doubles CityFibre’s addressable market, with ISPs on its platform now accounting for 49% of UK broadband market share. Surging Customer Growth & Record Take-Up CityFibre added 181,000 new customers in 2024, reaching a total of 518,000 live connections—an increase of 54% year-on-year. Penetration rates in mature areas, such as Milton Keynes and Stirling, now exceed 40%, while newer build areas are seeing take-up rates nearly double compared to 2021. The company’s wholesale model continues to strengthen, with an average of eight ISPs selling in each location. ISPs using CityFibre’s network are outperforming their market share on Openreach, securing twice the share in CityFibre-served areas. Key factors driving ISP adoption: Competitive pricing: The wholesale-only model enables ISPs to offer lower prices and increase margins Superior technology: The UK’s largest XGS-PON network, delivering multi-gig symmetrical speeds High service levels: 99% of customers receive an installation date within five working days, with a 95% first-time installation success rate M&A Strategy Strengthens Wholesale Footprint In May 2024, CityFibre completed the acquisition of Lit Fibre, adding 280,000 premises and over 10,000 retail customers to its network. The acquired ISP was sold back to its co-founders, aligning with CityFibre’s wholesale-only model, while the network was fully integrated into CityFibre’s platform within nine months. As the UK’s largest independent fibre challenger, CityFibre is positioned to play a leading role in the ongoing consolidation of the altnet market, with further acquisitions expected to accelerate network expansion. Looking Ahead to 2025 Sky set to launch services over CityFibre’s network, providing ISPs access to nearly half of the UK broadband market Another million premises to be added, focusing on Project Gigabit expansion and further acquisitions Continued expansion of the XGS-PON network, enhancing CityFibre’s wholesale product offering Increased revenue and stable operating costs, creating a scalable and sustainable high-margin business Greg Mesch, CEO at CityFibre, commented: “2024 was a defining year for CityFibre. The business achieved its first full year of profitability, secured a landmark partnership with Sky, and reinforced its position as the UK’s leading independent wholesale network. Looking ahead, the focus remains on profitable growth, continued expansion through Project Gigabit, and further industry consolidation. The wholesale-only model is proving its value—not just for ISPs, but for consumers and the UK’s digital future.” CityFibre’s results paint a picture of a company rapidly scaling both its network and its customer base. With a major ISP partnership, strong financials, and government-backed expansion opportunities, the company is well-positioned for further growth in 2025. As the altnet market continues to evolve, CityFibre is emerging as the dominant challenger to Openreach—one that ISPs, investors, and industry watchers will be keeping a close eye on.",https://fibrenews.co.uk/cityfibres-big-year-record-growth-first-profitable-year-sky-partnership/,2025-02-24T10:10:37+00:00
https://fibrenews.co.uk/category/all-news/,Quickline Introduces Young Readers to the World of Connectivity,"Quickline Communications has donated hundreds of copies of a new children’s book to primary schools across West Yorkshire, introducing young readers to the world of broadband while reinforcing key safety messages. Commissioned by Quickline and written by author Chris Madeley, Cones and Rural Broadband is the latest in a series featuring animated traffic cones that come to life to explore different industries. The book aims to help children understand broadband in a simple and engaging way while promoting health and safety awareness. The first copies were handed out at a launch event at the University of Bradford, attended by the Lord Mayor of Bradford, Councillor Beverley Mullaney, along with pupils and teachers from eight local schools. Chris Madeley, the book’s author, said: “The Cones series is all about showing children the opportunities available to them as they grow up, introducing different industries and careers in an engaging way. It’s been fascinating to learn about broadband and rural connectivity and to explain it in a way children can relate to.” Councillor Mullaney added: “I’m delighted this fantastic book series has launched its latest instalment in Bradford. I hope the children enjoy reading it and learning about different industries while following the adventures of the cone characters.” Sean Royce, CEO of Quickline, said: “We’re passionate about leaving a lasting impact in the communities we serve. By blending traditional books with digital tools, we can help young people learn, create, and imagine the future. We’re delighted to support primary schools across Yorkshire with this donation and would like to thank everyone involved in making it happen.” Quickline continues to expand its full fibre broadband rollout across West Yorkshire, delivering high-speed connectivity to over 28,000 additional homes and businesses as part of the Project Gigabit contract awarded in 2024. Project Gigabit is the UK government’s programme to bring fast, reliable broadband to communities left out of commercial rollout plans. Quickline is one of the largest regional delivery partners, with contracts totalling around £300m in public funding.",https://fibrenews.co.uk/quickline-introduces-young-readers-to-the-world-of-connectivity/,2025-02-11T11:57:22+00:00
https://fibrenews.co.uk/category/all-news/,Connect Fibre rolls out Wi-Fi 7 across all broadband plans,"Connect Fibre, a community-focused full fibre broadband provider, has launched Wi-Fi 7 across all its contracted packages. After thorough testing with top global manufacturers, the company is bringing next-gen tech to customers at no extra cost, sticking to its fair-pricing promise. The upgrade sets a new standard in the UK fibre market, making cutting-edge connectivity accessible without premium fees. Alongside Wi-Fi 7, Connect Fibre offers flexibility with 24-month contracts for lower rates or 12-month options for shorter commitments. The provider has also boosted its entry-level plan from 150Mbps to 250Mbps at no additional cost (on a 24-month deal), while its top-tier package now hits 2000Mbps. What Wi-Fi 7 brings Wi-Fi 7 uses advanced radio tech and new frequencies for faster, interference-free connections. Benefits include: Faster speeds : Multi-gigabit performance beats Wi-Fi 6, perfect for streaming and gaming. Lower latency : Reduced delays enhance gaming, AR/VR, and video calls. More capacity : Supports multiple devices with 8×8 MU-MIMO, ideal for smart homes. Stefan Stanislawski, CEO of Connect Fibre, said: “The launch of Wi-Fi 7 is a game-changer, and we’re proud to be leading the charge in bringing this cutting-edge technology to our customers. At Connect Fibre, innovation and customer experience are at the heart of everything we do. We believe everyone should have access to the best possible connectivity without barriers or premium pricing. With Wi-Fi 7, we’re not just keeping up with the future – we’re shaping it.”",https://fibrenews.co.uk/connect-fibre-rolls-out-wi-fi-7-across-all-broadband-plans/,2025-03-07T09:11:00+00:00
