Website,Article Title,Article content,Article Link,Date
https://www.ispreview.co.uk/,Broadband ISP TalkTalk Increases UK Mid-Contract Price Hikes to £4,"Perhaps inevitably, TalkTalk has today become the latest internet and phone provider to increase the customer cost impact of their existing mid-contract pricing policy, which will be introduced from 16th November 2025. But the price increase itself won’t hit until April 2026.",https://www.ispreview.co.uk/index.php/2025/11/broadband-isp-talktalk-increases-uk-mid-contract-price-hikes-to-4.html,17th Nov 2025
https://www.ispreview.co.uk/,House of Lords Report Calls for UK Broadband Investment to Boost Home Working,"The cross-party Home-based Working Committee (Lords Select Committee) has published its report on remote and hybrid working in the UK, which among other things finds that the government should “increase long-term investment in digital infrastructure, particularly broadband” in order to properly support such working.",https://www.ispreview.co.uk/index.php/2025/11/house-of-lords-report-calls-for-uk-broadband-investment-to-boost-home-working.html,17th Nov 2025
https://www.ispreview.co.uk/,Full Fibre’s Impact – Fibrus Report Makes Three Predictions for UK Rural Areas in 2025,"Infracapital-backed alternative broadband ISP Fibrus , which is building a full fibre network across parts of Cumbria (England) and Northern Ireland, has published a new report that outlines three predictions for how the UK’s rural areas might look in 2050 and highlights the “extraordinary potential” of such communities as engines of growth.",https://www.ispreview.co.uk/index.php/2025/11/full-fibres-impact-fibrus-report-makes-three-predictions-for-uk-rural-areas-in-2025.html,17th Nov 2025
https://www.ispreview.co.uk/,Virgin Media UK Make Linear FAST TV Channel Content Available On-Demand,"Customers of broadband ISP Virgin Media ( O2 ), specifically those who also take a Pay TV service via one of their TV 360, Stream or v6 box platforms, have today been informed that they’ve added video-on-demand (VoD) capabilities, “at no extra cost“, to at least some of their growing line up of FAST channels.",https://www.ispreview.co.uk/index.php/2025/11/virgin-media-uk-make-linear-fast-tv-channel-content-available-on-demand.html,17th Nov 2025
https://www.ispreview.co.uk/,Great Western Railway Pilots Hybrid Network to Boost Onboard Wi-Fi,"The Great Western Railway (GWR), which operates most train services across the Great Western Main Line (GWML) – the rail line in England that runs between London Paddington and Bristol Temple Meads, has joined with Peninsula Transport, Network Rail and Motion Applied to pilot faster on-board broadband ( WiFi ) using “technology from the world of Formula 1“.",https://www.ispreview.co.uk/index.php/2025/11/great-western-railway-pilots-hybrid-network-to-boost-onboard-wi-fi.html,17th Nov 2025
https://www.ispreview.co.uk/,Ofcom Consult on Impact of Openreach PIA on the UK Leased Line Market UPDATE,"The UK telecoms regulator, Ofcom , has today opened a “narrow consultation” that proposes to amend their leased line access (LLA) market analysis for the ongoing Telecoms Access Review 2026 (TAR) to reflect a “greater potential impact” from Openreach ’s Physical Infrastructure Access (PIA) product (this allows rivals to run new fibre via existing cable ducts and poles).",https://www.ispreview.co.uk/index.php/2025/11/ofcom-consult-on-impact-of-openreach-pia-on-the-uk-leased-line-market.html,17th Nov 2025
https://www.ispreview.co.uk/,Nokia Interview – 6G to Focus on Efficiency More than Mobile Broadband Speed,"The Head of Standards at Nokia Technologies, Peter Merz, has today told ISPreview – as part of our latest interview – that they’re conscious of wanting to avoid what mobile operators call “G-fatigue” (over-hyping) with their development of future 6G mobile (broadband) technology, which he says will be more about “intelligence and efficiency” than raw data throughput.",https://www.ispreview.co.uk/index.php/2025/11/nokia-interview-6g-to-focus-on-efficiency-more-than-mobile-broadband-speed.html,17th Nov 2025
https://www.ispreview.co.uk/,"O2 UK Hit Customer with £1,000 Bill After Losing their Mobile Number","Most people who call up their mobile operator’s retentions team to negotiate a better deal don’t expect to walk away from that with an unexpected £1,000 bill and to later be told that “sorry … we’ve lost your [mobile] number [and] … there isn’t anything we can do about it“. Nevertheless, that’s what recently happened to one of O2 ’s ( Virgin Media ) customers.",https://www.ispreview.co.uk/index.php/2025/11/o2-uk-hit-customer-with-1000-bill-after-losing-their-mobile-number.html,16th Nov 2025
https://www.ispreview.co.uk/,CEO of Broadband ISP Zen Internet Calls for Ban of Mid-Contract Price Hikes,"The boss of venerable UK broadband and phone provider Zen Internet , Richard Tang, has backed the Government’s Secretary of State for Science, Innovation and Technology (DSIT), Liz Kendall, in her alleged “call for an ‘outright ban on absurd’ mid-contract telecoms price rises“. But it remains unclear whether Ofcom will go that far.",https://www.ispreview.co.uk/index.php/2025/11/ceo-of-broadband-isp-zen-internet-calls-for-ban-of-mid-contract-price-hikes.html,15th Nov 2025
https://www.ispreview.co.uk/,No Solution Yet for West Herefordshire and Peak District Gigabit Broadband Project,The UK government has furnished ISPreview with a brief update on their progress toward finding a solution for Project Gigabit’s stalled full fibre broadband upgrades for rural parts of the Derbyshire Peak District and West Herefordshire. Both areas ran into difficulty ( here ) earlier this year after FullFibre Ltd “mutually agreed to terminate” their publicly funded contracts.,https://www.ispreview.co.uk/index.php/2025/11/no-solution-yet-for-west-herefordshire-and-peak-district-gigabit-broadband-project.html,15th Nov 2025
